Country or Area,Company ,Website
France,Comet,https://comet.co/
Europe,Malt,https://www.malt.fr/
France,La crème de la crème,https://cremedelacreme.io/#/fr
World,99jobs, https://www.99jobs.com/
Brazil,99 Freelas,https://www.99freelas.com.br/
Brazil,Getninjas,https://www.getninjas.com.br/
Brazil,Trampos.co,https://trampos.co/
World,Toptal,https://www.toptal.com/
World,Crossover,https://www.crossover.com/#index
World,We Work Remotely,https://weworkremotely.com/ 
World,Remote Ok,https://remoteok.io/
World,Working Nomads,https://www.workingnomads.co/remote-ruby-jobs
World,Remotive,https://remotive.io/
World,Jobspresso,https://jobspresso.co/
World,Remote List,https://remotelist.io/remote-ruby-jobs/
World,Workana,https://www.workana.com/pt
Denmark,Worksome,https://www.worksome.dk/
Netherlands,Jellow,https://www.jellow.nl
Netherlands,Freelance.nl,https://www.freelance.nl
Netherlands,Hoofdkraan,https://www.hoofdkraan.nl
Netherlands,Project-IT.nl,https://project-it.nl
International,UpWork.com,https://www.upwork.com
International,Freelancer.com,https://www.freelancer.com
Netherlands,Young Creators,https://youngcreators.co/opdrachten
Netherlands,Creative Freelancers,https://www.facebook.com/groups/creatievefreelancersamsterdam
Netherlands,Expat freelancers in The Netherlands,https://www.facebook.com/groups/263924764091973
Netherlands,Vacatures in Amsterdam,https://www.facebook.com/groups/vacaturesinamsterdam
International,WeAreHirable,https://wearehirable.com
Québec (Canada),Pige Québec,https://pige.quebec/blog/
China, WeChat apps gigs, https://minapp.com/miniapp/7935/
China, WeChat developers repository, http://www.wechatdevelopers.com/
China, Lagou, https://pro.lagou.com/
China, Zike, http://www.ziwork.com/
China, ZBJ, https://zbj.com/
