Name,URL,City,Type
Paris.rb,https://www.meetup.com/fr-FR/parisrb/,Paris,Dev
Paris Ruby Workshop,https://www.meetup.com/fr-FR/Paris-Ruby-Workshop/,Paris,Dev
Woman on Rails,https://www.meetup.com/fr-FR/Women-On-Rails/,Paris,Dev
ReactJS and React Native Paris,https://www.meetup.com/fr-FR/ReactJS-Paris/,Paris,Dev
Product Marketing Paris,https://www.meetup.com/fr-FR/Product-Marketing-Paris/,Paris,Product
LPCx,https://www.meetup.com/fr-FR/laproductconf-x/,Paris,Product
Product Stories,https://www.meetup.com/fr-FR/_ProductStories/, Paris, Product
Montreal.rb,https://www.meetup.com/fr-FR/mtl-rb/,Montreal,Dev
js-montreal,https://www.meetup.com/fr-FR/js-montreal/,Montreal,Dev
Let's React - MTL React Native Monthly Meetup,https://www.meetup.com/React-Native-MTL/,Montreal,Dev
HackernestMTL,https://www.meetup.com/fr-FR/HackerNestMTL/,Montreal,Networking
MTL NewTech - Montreal + Startups Community,https://www.meetup.com/mtlnewtech, Montreal,Networking
Product Tank Montréal,https://www.meetup.com/ProductTank-Montreal, Montreal,Product
Montréal All-Girl Hack Night,https://www.meetup.com/Montreal-All-Girl-Hack-Night,Montreal,Dev
Montreal Startup Founder 101,https://www.meetup.com/Montreal-Startup-Founders-101/,Montreal,Founders
Startup Drinks Montreal,http://www.startupdrinksmontreal.com/,Montreal,Networking
List of various Meetups in Montreal,bit.ly/MTLMeetups,Montreal,Startup Community
LyonJS,https://www.meetup.com/fr-FR/LyonJS/,Lyon,Dev
Lyon.rb,https://www.meetup.com/fr-FR/Lyon-Ruby-Brigade/,Lyon,Dev
HumanTalks,https://www.meetup.com/fr-FR/HumanTalks-Lyon,Lyon,Dev
Tour du web,https://www.meetup.com/fr-FR/La-Tour-du-Web/,Lyon,Networking
Freelance lyon,https://www.meetup.com/fr-FR/Meetup-Freelance-Lyon/,Lyon,Networking
La Cordée,https://www.meetup.com/fr-FR/La-Cordee-coworking-partage-evenements-et-bonne-humeur/,Lyon,Networking
Codeacademy,https://www.meetup.com/Codecademy-London/,London,School
Ruby Hacknight,https://www.meetup.com/ruby-hacknight-london/,London,Dev
London Entrepeneurs,https://www.meetup.com/london-entrepreneurs/,London,Networking
UX Crunch,https://www.meetup.com/UXcrunch/,London,Product
JavaScript London,https://www.meetup.com/JavaScript-London/,London,Dev
London API,https://www.meetup.com/London-API-Group/,London,Dev
Silicon Roundabout,https://www.meetup.com/SiliconRoundabout/,London,Networking
Rug::B - Ruby User Group, http://berlin.onruby.de/, Berlin, Dev
React.js and React native Berlin, https://www.meetup.com/ReactJS-and-React-Native-Berlin/, Berlin, Dev
Rails Girls Berlin, http://railsgirlsberlin.de/, Berlin, Dev
Co-Found Berlin, https://www.meetup.com/Co-Found-Berlin/, Berlin, Founders
Women Who Code Berlin, https://www.womenwhocode.com/berlin, Berlin, Dev
Developer Circles from Facebook Berlin, https://www.facebook.com/groups/DevCBerlin/, Berlin, Dev
Ember.js Berlin, https://www.meetup.com/Ember-js-Berlin/, Berlin, Dev
Nantes.rb,https://github.com/nantesrb/Bienvenue,Nantes,Dev
Amsterdam.rb,https://amsrb.org/,Amsterdam,Dev
Hackers & Founders,https://www.meetup.com/Hackers-and-Founders-Amsterdam-NL,Amsterdam,Dev / Entrepreneur
Le Wagon Amsterdam,https://www.meetup.com/Le-Wagon-Amsterdam/,Amsterdam,Dev / Entrepreneur
Rails Girls Netherlands,https://www.meetup.com/RailsGirls-NL/,Amsterdam,Dev
Rails Girls NL - Slack invite,http://bit.ly/railsgirls_slackinvite,Amsterdam,Dev
Utrecht.rb,https://www.meetup.com/Utrecht-rb/,Amsterdam(Utrecht),Dev
Amsterdam Python Group,https://www.meetup.com/Amsterdam-Python-Meetup-Group/,Amsterdam,Dev
Frontend develoeprs Amsterdam,https://www.meetup.com/Frontend-Developer-Meetup-Amsterdam/,Amsterdam,Dev
TNW meetups,https://launchpadmeetups.com/,Amsterdam,Dev / Entrepreneur
Rockstart,https://www.meetup.com/Rockstart-Amsterdam/,Amsterdam,Dev / Entrepreneur
Startup Amsterdam,https://www.iamsterdam.com/startupamsterdam,Amsterdam,Dev / Entrepreneur
Product Tank,https://www.meetup.com/ProductTank-AMS,Amsterdam,Dev / Entrepreneur
Tech Founder Club Amsterdam,https://www.meetup.com/techfounderclubams/,Amsterdam,Dev / Entrepreneur
AMSxTech,https://www.meetup.com/AMSxTech/,Amsterdam,Dev / Entrepreneur
Impact hub Amsterdam,https://amsterdam.impacthub.net/,Amsterdam,Dev / Entrepreneur
TechMeetups.com ,https://www.meetup.com/Amsterdam-TechMeetups/,Amsterdam,Dev / Entrepreneur
Ruby on Rails Blog, https://www.meetup.com/Ruby-On-Rails-Oceania-Melbourne/events/247626472/, Melbourne, Dev
SILICON Beach, https://www.meetup.com/Melbourne-Silicon-Beach/, Melbourne, Founders
The UX Design Group of Melbourne, https://www.meetup.com/The-UX-Design-Group-of-Melbourne/, Melbourne, UX Design
Startup Grind Melbourne, https://www.meetup.com/Startup-Grind-Melbourne/, Melbourne, Founders
Melbourne Online Startup Marketingm, https://www.meetup.com/Melbourne-Online-Startup-Marketing/, Melbourne, Growth Marketing
FuckUp Nights Melbourne, https://www.meetup.com/FuckUp-Nights-Melbourne/, Melbourne, Founders
Startup Victoria, https://www.meetup.com/StartupVictoria/, Melbourne, Founders
