Company,Website,Category,City,Alumni in the company?
Mumsnet,https://www.mumsnet.com/,Startup,London,yes
Street Bees,https://www.streetbees.com/,Startup,London ,yes
House of Kaizen,https://www.houseofkaizen.com/,Agency,London,yes
38 Degrees,https://home.38degrees.org.uk/,Startup,London ,yes
Unboxed,https://unboxed.co/,Startup,London,yes
Purr Digital,https://www.purrdigital.com/,Agent,London,yes
Mumsnet,https://www.mumsnet.com/,Startup,London,yes
Imby,https://www.imby.io/,Startup,London,yes
Mumsnet,https://www.mumsnet.com/,Startup,London,yes
Good Gym ,https://www.goodgym.org/,Startup,London,yes
Theodo,https://www.theodo.co.uk/,Agency,London,yes
Unboxed,https://unboxed.co/,Startup,London,yes
Street Bees,https://www.streetbees.com/,Startup,London ,yes
Caremeds LTD,http://www.caremeds.co.uk/,Startup,Cheltenham,yes
Onfido,https://onfido.com/,Startup,London,yes
We Chef,https://www.wechefapp.com/,Startup,London,yes
initforthe,https://initforthe.com/,Agency,Manchester,yes
River Island,https://eu.riverisland.com/,Startup,London ,yes
Jigsaw,https://www.jigsaw-online.com/,Startup,London,yes
Officina,http://www.officina.cc/homepage/,Startup,Rome ,yes
Vinterior,https://www.vinterior.co/,Startup,London,yes
b2w digital,https://ri.b2w.digital/,Startup,Sao Paulo,yes
Dopay,http://www.dopay.com/en,Startup,London,yes
Wink,http://wink.by/,Startup,Rome,yes
Ohpen,https://www.ohpen.com/,Startup,Amsterdam,yes
IBM,https://www.ibm.com/watson/,Startup,London ,yes
Shopmium,https://www.shopmium.com/uk,Startup,London ,yes
BCGDV,https://www.bcgdv.com/,Startup,London ,yes
Socialive.tv,https://www.socialive.tv/,Startup,London ,yes
Immoweb,https://www.immoweb.be/en/,Startup,Brussels ,yes
SalaryFinance,https://www.salaryfinance.com/,Startup,London ,yes
Cult Beauty ,https://www.cultbeauty.co.uk/,Startup,London ,yes
Carwow,https://www.carwow.co.uk/,Startup,London ,yes
Booking Bug,https://www.booking.com/,Startup,London ,no
Double Negative,https://www.dneg.com/,Startup,London ,yes
Resi,https://resi.co.uk/,Startup,London ,yes
LoopMe,https://loopme.com/,Startup,London ,yes
Skills Matter,https://skillsmatter.com/,Startup ,London ,yes
BCG,https://www.bcgdv.com/,Consulting ,London ,yes
dTools,http://www.adtools.com.br,Startup,Brazil,no
Aio,http://meuaio.com/,Startup,Brazil,no
AppProva,http://appprova.com.br,Startup,Brazil,no
Beautydate,http://beautydate.com.br/,Startup,Brazil,no
BIVA,https://biva.com.br,-,Brazil,no
Catarse,https://catarse.me/,Startup,Brazil,no
ChefsClub,http://www.chefsclub.com.br/,service,Brazil,no
Clapme,http://clapme.com.br/,service,Brazil,no
Codeminer42,http://www.codeminer42.com/,software house,Brazil,no
Creditas,https://www.creditas.com.br/,Service,Brazil,no
Eduk,http://eduk.com.br/,Startup,Brazil,no
Enjoei,http://www.enjoei.com.br/,Startup,Brazil,no
Estudar.com.vc,https://estudar.com.vc/,Startup,Brazil,no
Fight Analytics,http://fightanalytics.cc/),Startup,Brazil,no
Fulllab,https://www.fulllab.com.br/,Startup,Brazil,no
Geekhunter,http://geekhunter.com.br/,Startup,Brazil,no
GetNinjas,https://www.getninjas.com.br/,Startup,Brazil,no
Gympass,https://gympass.com,Service,São Paulo,no
Helabs,https://helabs.com/br,software house,Brazil,no
Indeva,https://indeva.com.br/,Startup,Brazil,no
Instacarro,http://instacarro.com.br/,Startup,Brazil,no
Iugu,https://iugu.com,Service,São Paulo,yes
Job for Model,https://jobformodel.com,Service,São Paulo,yes
KEEP LEARNING,https://www.keeplearning.school/,Startup,Brazil,no
Kikker,http://www.kikker.com.br/,Startup,Brazil,no
Lovemondays,http://www.lovemondays.com.br/,Startup,Brazil,no
Magnetis,www.magnetis.com.br/,Service,São Paulo,yes
Marmotex,http://marmotex.com.br/,Startup,Brazil,no
Mecasei,http://Mecasei.com,Startup,Brazil,no
MeSalva!,http://mesalva.com,Startup,Brazil,no
Monde,https://www.monde.com.br/,Startup,Brazil,no
Nexoos,https://www.nexoos.com.br/,Startup,Brazil,no
Nutrebem,http://nutrebem.com.br/,Startup,Brazil,no
Nutripad,http://nutripad.com.br,Startup,Brazil,no
Nuuvem,https://nuuvem.com/,Startup,Brazil,no
OfertaEsperta.com,http://www.ofertaesperta.com,Startup,Brazil,no
Pagar.me,http://www.pagar.me/,Startup,Brazil,no
PagPop,http://pagpop.com.br/,Startup,Brazil,no
Paper X,https://paperx.com.br,Startup,Brazil,no
Pipefy,https://www.pipefy.com/,Startup,Brazil,no
Plataformatec,http://plataformatec.com.br/, Software House,Brazil,no
Pluga,http://Pluga.co,Startup,Brazil,no
